subject;axis;time;value
qw51;x;25;42.16843655
bo23;y;1;18.75747896
bo23;y;2;19.98188102
bo23;y;3;9.877181326
bo23;y;4;39.58902613
bo23;y;5;46.08217768
bo23;y;6;38.32924235
bo23;y;7;40.95736171
bo23;y;8;14.3899398
bo23;y;9;58.93489579
bo23;y;10;71.82286011
bo23;y;11;72.28133463
bo23;y;12;45.30426281
bo23;y;13;101.0661882
bo23;y;14;73.68348607
bo23;y;15;68.7980851
bo23;y;16;50.66211303
bo23;y;17;88.47930303
bo23;y;18;38.07074173
bo23;y;19;65.53980347
bo23;y;20;112.9506784
bo23;y;21;95.61600221
bo23;y;22;62.53163949
bo23;y;23;50.80212599
bo23;y;24;129.6277786
bo23;y;25;109.7001112
ea65;y;1;45.40431668
ea65;y;2;58.7744712
ea65;y;3;35.14152086
ea65;y;4;64.11190971
ea65;y;5;47.68140262
ea65;y;6;78.40151938
ea65;y;7;74.62181837
ea65;y;8;40.59580092
ea65;y;9;29.75687445
ea65;y;10;51.78326374
ea65;y;11;42.6649208
ea65;y;12;21.63568512
ea65;y;13;21.47726915
ea65;y;14;47.88114726
ea65;y;15;19.03139082
ea65;y;16;51.05602417
ea65;y;17;43.97100103
ea65;y;18;25.66780083
ea65;y;19;36.58892888
ea65;y;20;39.35160479
ea65;y;21;32.01682334
ea65;y;22;24.49866958
ea65;y;23;46.48825382
ea65;y;24;23.45516588
ea65;y;25;51.643833
ia67;y;1;52.73677784
ia67;y;2;40.13012155
ia67;y;3;67.18609059
ia67;y;4;118.5773892
ia67;y;5;82.77274555
ia67;y;6;122.4583883
ia67;y;7;95.49162448
ia67;y;8;76.04201012
ia67;y;9;98.29299097
ia67;y;10;84.37428764
ia67;y;11;57.88633903
ia67;y;12;121.6375852
ia67;y;13;185.8454739
ia67;y;14;114.0667683
ia67;y;15;179.8023831
ia67;y;16;152.6126889
ia67;y;17;141.8510604
ia67;y;18;156.3921251
ia67;y;19;239.5515881
ia67;y;20;84.61013885
ia67;y;21;90.2698184
ia67;y;22;170.5470643
ia67;y;23;100.3743001
ia67;y;24;100.9122736
ia67;y;25;108.111393
jw13;y;1;234.992953
jw13;y;2;160.7127006
jw13;y;3;144.9458609
jw13;y;4;95.87244934
jw13;y;5;144.5149032
jw13;y;6;126.6568871
jw13;y;7;111.1063628
jw13;y;8;145.6762497
jw13;y;9;92.14568599
jw13;y;10;124.563345
jw13;y;11;203.4906954
jw13;y;12;177.350543
jw13;y;13;163.2263185
jw13;y;14;159.1748064
jw13;y;15;225.3342943
jw13;y;16;249.1135003
jw13;y;17;112.2980128
jw13;y;18;46.27709982
jw13;y;19;102.7020553
jw13;y;20;102.4791748
jw13;y;21;165.9101677
jw13;y;22;205.6979422
jw13;y;23;175.0652308
jw13;y;24;114.5519545
jw13;y;25;180.8497856
ks01;y;1;49.37166229
ks01;y;2;31.50145361
ks01;y;3;31.50145361
ks01;y;4;24.79920675
ks01;y;5;27.77475715
ks01;y;6;24.62635973
ks01;y;7;23.27341449
ks01;y;8;58.05455804
ks01;y;9;26.91817238
ks01;y;10;18.81004143
ks01;y;11;24.93354072
ks01;y;12;74.32889917
ks01;y;13;27.18642843
ks01;y;14;22.25080147
ks01;y;15;37.93679785
ks01;y;16;28.31301021
ks01;y;17;19.85674763
ks01;y;18;70.9774157
ks01;y;19;91.20757695
ks01;y;20;29.35518817
ks01;y;21;35.70099039
ks01;y;22;99.5499418
ks01;y;23;25.43937207
ks01;y;24;32.35175327
ks01;y;25;17.80240812
mk55;y;1;14.14660573
mk55;y;2;36.11469617
mk55;y;3;23.38381153
mk55;y;4;32.91027158
mk55;y;5;66.64333018
mk55;y;6;33.08135488
mk55;y;7;65.76162479
mk55;y;8;42.11416395
mk55;y;9;2.374262622
mk55;y;10;50.05240829
mk55;y;11;32.55599538
mk55;y;12;64.55062185
mk55;y;13;29.15212554
mk55;y;14;19.32877012
mk55;y;15;80.3976953
mk55;y;16;15.18755093
mk55;y;17;56.00458676
mk55;y;18;73.91053952
mk55;y;19;44.76154295
mk55;y;20;47.82966049
mk55;y;21;29.87026386
mk55;y;22;43.88770864
mk55;y;23;40.89879689
mk55;y;24;2.109267307
mk55;y;25;59.1039961
qe90;y;1;21.06027023
qe90;y;2;25.86349611
qe90;y;3;76.3632254
qe90;y;4;80.46344297
qe90;y;5;32.08613615
qe90;y;6;47.65528936
qe90;y;7;35.50316935
qe90;y;8;28.08093112
qe90;y;9;31.20690229
qe90;y;10;67.97124255
qe90;y;11;23.05320641
qe90;y;12;21.38918413
qe90;y;13;21.81316519
qe90;y;14;37.27625744
qe90;y;15;31.5931853
qe90;y;16;77.24783333
qe90;y;17;164.8779516
qe90;y;18;266.5878601
qe90;y;19;52.59699859
qe90;y;20;37.28569369
qe90;y;21;45.4092702
qe90;y;22;59.16612329
qe90;y;23;59.60914842
qe90;y;24;55.5006794
qe90;y;25;48.19648716
qw51;y;1;47.62254217
qw51;y;2;47.62254217
qw51;y;3;102.6831928
qw51;y;4;86.10475165
qw51;y;5;94.55781966
qw51;y;6;74.42797022
qw51;y;7;63.68626587
qw51;y;8;63.50695332
qw51;y;9;102.606771
qw51;y;10;89.63334838
qw51;y;11;72.80281265
qw51;y;12;84.15489209
qw51;y;13;64.71441161
qw51;y;14;73.26784379
qw51;y;15;58.66441904
qw51;y;16;92.16111558
qw51;y;17;106.7039082
qw51;y;18;102.2625937
qw51;y;19;80.11768363
qw51;y;20;61.36195192
qw51;y;21;66.30049897
qw51;y;22;71.87361685
qw51;y;23;54.16177944
qw51;y;24;81.60915668
qw51;y;25;94.1748868
