participant_id;snippet;frames;distance_y
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;7902;-3
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9378;-8
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9600;10
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;9828;1
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
bo23;arrayAverageTD_B.png;10444;7
