nr;aoi_inner;aoi_25px;aoi_50px;subject
1;4406.0;18249.0;23461.0;P00
2;4958.0;11237.0;24140.0;P01
3;58716.0;83194.0;86356.0;P02
4;28862.0;50127.0;59449.0;P03
5;29211.0;42836.0;45453.0;P04
6;24526.0;40176.0;45405.0;P05
7;14852.0;36206.0;54531.0;P06
