time;axis;value;subject
4;y;31.89;bo23
4;y;109.76;ea65
4;y;96.48;ia67
4;y;63.63;ks01
4;y;59.45;mk55
4;y;82.58;qe90
4;y;115.03;qw51
4;y;11.43;zp65
5;y;22.66;bo23
5;y;100.62;ea65
5;y;94.38;ia67
5;y;33.49;ks01
5;y;85.87;mk55
5;y;21.18;qe90
5;y;117.34;qw51
5;y;19.6;zp65
6;y;29.25;bo23
6;y;139.44;ea65
6;y;74.63;ia67
6;y;30.21;ks01
6;y;71.88;mk55
6;y;17.51;qe90
6;y;91.93;qw51
6;y;9.83;zp65
7;y;62.96;bo23
7;y;146.24;ea65
7;y;104.91;ia67
7;y;40.89;ks01
7;y;74.97;mk55
7;y;28.88;qe90
7;y;81.35;qw51
7;y;23.83;zp65
8;y;49.7;bo23
8;y;77.72;ea65
8;y;68.04;ia67
8;y;31.29;ks01
8;y;63.9;mk55
8;y;29.62;qe90
8;y;132.39;qw51
8;y;15.77;zp65
9;y;56.57;bo23
9;y;111.09;ea65
9;y;135.26;ia67
9;y;31.73;ks01
9;y;62.86;mk55
9;y;22.94;qe90
9;y;116.82;qw51
9;y;12.68;zp65
10;y;63.15;bo23
10;y;121.1;ea65
10;y;99.34;ia67
10;y;12.75;ks01
10;y;69.71;mk55
10;y;49.63;qe90
10;y;118.05;qw51
10;y;16.39;zp65
11;y;71.18;bo23
11;y;74.66;ea65
11;y;99.47;ia67
11;y;14.18;ks01
11;y;68.79;mk55
11;y;29.65;qe90
11;y;81.25;qw51
11;y;20.23;zp65
12;y;61.2;bo23
12;y;49.59;ea65
12;y;149.71;ia67
12;y;32.1;ks01
12;y;92.33;mk55
12;y;28.65;qe90
12;y;90.7;qw51
12;y;17.35;zp65
13;y;140.8;bo23
13;y;31.77;ea65
13;y;202.57;ia67
13;y;37.56;ks01
13;y;87.78;mk55
13;y;38.51;qe90
13;y;103.15;qw51
13;y;30.38;zp65
14;y;69.15;bo23
14;y;59.18;ea65
14;y;178.18;ia67
14;y;1.2;ks01
14;y;68.3;mk55
14;y;34.53;qe90
14;y;52.33;qw51
14;y;30.15;zp65
15;y;53.8;bo23
15;y;61.38;ea65
15;y;228.61;ia67
15;y;16.57;ks01
15;y;270.6;mk55
15;y;44.34;qe90
15;y;82.27;qw51
15;y;13.21;zp65
16;y;17.24;bo23
16;y;37.83;ea65
16;y;186.23;ia67
16;y;31.8;ks01
16;y;60.74;mk55
16;y;72.71;qe90
16;y;117.62;qw51
16;y;16.3;zp65
17;y;73.21;bo23
17;y;89.78;ea65
17;y;178.13;ia67
17;y;9.3;ks01
17;y;65.35;mk55
17;y;37.57;qe90
17;y;116.49;qw51
17;y;26.28;zp65
18;y;35.96;bo23
18;y;49.32;ea65
18;y;161.71;ia67
18;y;9.3;ks01
18;y;85.0;mk55
18;y;78.55;qe90
18;y;114.4;qw51
18;y;18.02;zp65
19;y;139.15;bo23
19;y;71.81;ea65
19;y;126.13;ia67
19;y;50;ks01
19;y;101.38;mk55
19;y;53.39;qe90
19;y;121.12;qw51
19;y;18.6;zp65
20;y;186.32;bo23
20;y;76.27;ea65
20;y;204.37;ia67
20;y;78.52;ks01
20;y;89.31;mk55
20;y;52.4;qe90
20;y;98.49;qw51
20;y;17.21;zp65
21;y;87.61;bo23
21;y;55.42;ea65
21;y;104.48;ia67
21;y;35.64;ks01
21;y;63.91;mk55
21;y;68.49;qe90
21;y;90.66;qw51
21;y;32.1;zp65
22;y;167.26;bo23
22;y;83.55;ea65
22;y;161.13;ia67
22;y;74.2;ks01
22;y;85.72;mk55
22;y;46.33;qe90
22;y;99.2;qw51
22;y;26.11;zp65
23;y;171.96;bo23
23;y;87.4;ea65
23;y;169.74;ia67
23;y;74.2;ks01
23;y;26.86;mk55
23;y;65.74;qe90
23;y;107.67;qw51
23;y;17.05;zp65
24;y;180.78;bo23
24;y;58.81;ea65
24;y;156.12;ia67
24;y;16.54;ks01
24;y;81.02;mk55
24;y;55.27;qe90
24;y;130.94;qw51
24;y;17.0;zp65
25;y;109.44;bo23
25;y;94.48;ea65
25;y;133.7;ia67
25;y;16.54;ks01
25;y;95.67;mk55
25;y;65.56;qe90
25;y;120.91;qw51
25;y;15.15;zp65
26;y;109.44;bo23
26;y;94.48;ea65
26;y;133.7;ia67
26;y;50;ks01
26;y;95.67;mk55
26;y;65.56;qe90
26;y;120.91;qw51
26;y;15.15;zp65
